Candidate_ID,Target_Star,Period_Days,Depth_ppm,CNN_Confidence,Radius_Earth,Mass_Earth,SemiMajorAxis_AU,Teq_K,Has_Atmosphere,Atmosphere_Regime,log_H2O,log_CO2
TIC_10000909.01,TIC_10000909,2.98959,4350.1,97.9%,6.34,22.38,0.0415,823.1,EVET,PRİMORDİYAL HİDROJEN/HELYUM GAZ ZARFI (Gaz Devi),-3.48,-3.39
TIC_10000910.01,TIC_10000910,5.39391,1513.7,97.7%,4.81,13.99,0.0638,995.5,EVET,PRİMORDİYAL HİDROJEN/HELYUM GAZ ZARFI (Gaz Devi),-3.44,-3.40
TIC_10000911.01,TIC_10000911,9.52242,11084.0,96.7%,13.70,83.00,0.0820,772.4,EVET,PRİMORDİYAL HİDROJEN/HELYUM GAZ ZARFI (Gaz Devi),-3.46,-3.37
TIC_10000911.02,TIC_10000911,9.57838,10925.3,87.2%,13.60,81.99,0.0823,770.9,EVET,PRİMORDİYAL HİDROJEN/HELYUM GAZ ZARFI (Gaz Devi),-3.45,-3.40
TIC_10000912.01,TIC_10000912,4.36176,2162.4,98.2%,5.72,18.78,0.0530,1221.7,EVET,PRİMORDİYAL HİDROJEN/HELYUM GAZ ZARFI (Gaz Devi),-3.35,-3.52
TIC_10000913.01,TIC_10000913,5.69551,8837.9,97.9%,9.87,47.51,0.0465,787.5,EVET,PRİMORDİYAL HİDROJEN/HELYUM GAZ ZARFI (Gaz Devi),-3.45,-3.37
TIC_10000914.01,TIC_10000914,13.07464,4821.8,92.1%,6.88,25.72,0.0965,552.7,EVET,PRİMORDİYAL HİDROJEN/HELYUM GAZ ZARFI (Gaz Devi),-3.47,-3.43
TIC_10000915.01,TIC_10000915,5.42985,8697.5,98.3%,12.09,67.13,0.0565,862.4,EVET,PRİMORDİYAL HİDROJEN/HELYUM GAZ ZARFI (Gaz Devi),-3.47,-3.38
TIC_10000916.01,TIC_10000916,5.34088,4879.5,98.2%,7.82,32.01,0.0621,896.7,EVET,PRİMORDİYAL HİDROJEN/HELYUM GAZ ZARFI (Gaz Devi),-3.44,-3.37
TIC_10000917.01,TIC_10000917,8.92288,4292.8,98.3%,4.73,13.60,0.0679,670.2,EVET,PRİMORDİYAL HİDROJEN/HELYUM GAZ ZARFI (Gaz Devi),-3.41,-3.40
TIC_10000918.01,TIC_10000918,2.45393,7046.6,95.7%,6.94,26.10,0.0328,1266.1,EVET,PRİMORDİYAL HİDROJEN/HELYUM GAZ ZARFI (Gaz Devi),-3.28,-3.48
TIC_10000919.01,TIC_10000919,4.70149,1220.7,98.8%,2.11,3.45,0.0520,881.0,EVET,PRİMORDİYAL HİDROJEN/HELYUM GAZ ZARFI (Gaz Devi),-3.45,-3.40
TIC_10000920.01,TIC_10000920,2.93310,6665.1,97.8%,9.89,47.71,0.0322,1489.9,EVET,PRİMORDİYAL HİDROJEN/HELYUM GAZ ZARFI (Gaz Devi),-3.29,-3.50
TIC_10000921.01,TIC_10000921,12.57042,1871.8,96.4%,4.52,12.60,0.0931,782.5,EVET,PRİMORDİYAL HİDROJEN/HELYUM GAZ ZARFI (Gaz Devi),-3.47,-3.42
TIC_10000921.02,TIC_10000921,12.57042,2034.5,36.2%,4.71,13.53,0.0931,782.5,EVET,PRİMORDİYAL HİDROJEN/HELYUM GAZ ZARFI (Gaz Devi),-3.45,-3.38
TIC_10000922.01,TIC_10000922,5.07480,2797.4,97.6%,4.04,10.41,0.0550,813.0,EVET,PRİMORDİYAL HİDROJEN/HELYUM GAZ ZARFI (Gaz Devi),-3.44,-3.38
TIC_10000923.01,TIC_10000923,4.58897,1630.3,98.3%,4.70,13.46,0.0405,909.2,EVET,PRİMORDİYAL HİDROJEN/HELYUM GAZ ZARFI (Gaz Devi),-3.45,-3.37
TIC_10000924.01,TIC_10000924,13.07464,1139.3,96.5%,2.14,3.53,0.0969,625.2,EVET,PRİMORDİYAL HİDROJEN/HELYUM GAZ ZARFI (Gaz Devi),-3.43,-3.39
TIC_10000925.01,TIC_10000925,5.09065,1898.9,98.7%,2.70,5.26,0.0495,913.0,EVET,PRİMORDİYAL HİDROJEN/HELYUM GAZ ZARFI (Gaz Devi),-3.48,-3.40
TIC_10000926.01,TIC_10000926,6.71654,1709.0,98.9%,3.39,7.72,0.0636,622.9,EVET,PRİMORDİYAL HİDROJEN/HELYUM GAZ ZARFI (Gaz Devi),-3.46,-3.41
TIC_10000927.01,TIC_10000927,13.91167,1464.8,90.4%,2.41,4.34,0.1159,409.7,EVET,PRİMORDİYAL HİDROJEN/HELYUM GAZ ZARFI (Gaz Devi),-3.62,-3.81
TIC_10000928.01,TIC_10000928,13.67816,3479.0,59.4%,5.17,15.85,0.0870,753.8,EVET,PRİMORDİYAL HİDROJEN/HELYUM GAZ ZARFI (Gaz Devi),-3.45,-3.43
TIC_10000928.02,TIC_10000928,13.67816,3418.0,95.0%,5.13,15.62,0.0870,753.8,EVET,PRİMORDİYAL HİDROJEN/HELYUM GAZ ZARFI (Gaz Devi),-3.45,-3.40
TIC_10000929.01,TIC_10000929,8.02247,1342.8,99.2%,2.81,5.62,0.0663,494.6,EVET,PRİMORDİYAL HİDROJEN/HELYUM GAZ ZARFI (Gaz Devi),-3.49,-3.40
TIC_10000930.01,TIC_10000930,5.91246,1159.7,99.1%,2.44,4.43,0.0573,781.7,EVET,PRİMORDİYAL HİDROJEN/HELYUM GAZ ZARFI (Gaz Devi),-3.46,-3.38
TIC_10000931.01,TIC_10000931,9.43969,10925.3,97.5%,10.32,51.31,0.0909,476.1,EVET,PRİMORDİYAL HİDROJEN/HELYUM GAZ ZARFI (Gaz Devi),-3.49,-3.40
TIC_10000931.02,TIC_10000931,9.49468,7568.4,80.0%,8.59,37.56,0.0912,475.2,EVET,PRİMORDİYAL HİDROJEN/HELYUM GAZ ZARFI (Gaz Devi),-3.43,-3.41
TIC_10000932.01,TIC_10000932,13.91167,7649.8,88.5%,10.73,54.80,0.0884,567.9,EVET,PRİMORDİYAL HİDROJEN/HELYUM GAZ ZARFI (Gaz Devi),-3.45,-3.36
TIC_10000933.01,TIC_10000933,3.85608,6811.5,91.9%,10.75,54.96,0.0466,849.8,EVET,PRİMORDİYAL HİDROJEN/HELYUM GAZ ZARFI (Gaz Devi),-3.43,-3.38
TIC_10000934.01,TIC_10000934,11.54628,1261.4,97.6%,3.40,7.75,0.0989,696.7,EVET,PRİMORDİYAL HİDROJEN/HELYUM GAZ ZARFI (Gaz Devi),-3.45,-3.37
TIC_10000934.02,TIC_10000934,11.46506,854.5,87.0%,2.79,5.57,0.0984,698.3,EVET,PRİMORDİYAL HİDROJEN/HELYUM GAZ ZARFI (Gaz Devi),-3.46,-3.41
TIC_10000935.01,TIC_10000935,13.62100,1220.7,98.3%,3.00,6.29,0.0911,781.5,EVET,PRİMORDİYAL HİDROJEN/HELYUM GAZ ZARFI (Gaz Devi),-3.45,-3.38
TIC_10000936.01,TIC_10000936,7.71852,8575.4,98.0%,4.91,14.48,0.0804,399.7,EVET,PRİMORDİYAL HİDROJEN/HELYUM GAZ ZARFI (Gaz Devi),-3.62,-3.83
TIC_10000937.01,TIC_10000937,5.06691,5371.1,98.3%,7.35,28.83,0.0532,1090.9,EVET,PRİMORDİYAL HİDROJEN/HELYUM GAZ ZARFI (Gaz Devi),-3.31,-3.49
TIC_10000938.01,TIC_10000938,5.72552,9643.6,98.0%,10.43,52.21,0.0612,903.2,EVET,PRİMORDİYAL HİDROJEN/HELYUM GAZ ZARFI (Gaz Devi),-3.48,-3.41
TIC_10000939.01,TIC_10000939,12.28614,7080.1,93.0%,6.69,24.54,0.0916,570.2,EVET,PRİMORDİYAL HİDROJEN/HELYUM GAZ ZARFI (Gaz Devi),-3.49,-3.42
TIC_10000940.01,TIC_10000940,4.15600,3317.8,95.3%,3.40,7.76,0.0385,933.3,EVET,PRİMORDİYAL HİDROJEN/HELYUM GAZ ZARFI (Gaz Devi),-3.44,-3.43
TIC_10000941.01,TIC_10000941,11.07549,7893.9,96.4%,7.70,31.20,0.0760,739.7,EVET,PRİMORDİYAL HİDROJEN/HELYUM GAZ ZARFI (Gaz Devi),-3.44,-3.41
TIC_10000941.02,TIC_10000941,11.15127,5798.3,64.1%,6.60,24.00,0.0764,738.0,EVET,PRİMORDİYAL HİDROJEN/HELYUM GAZ ZARFI (Gaz Devi),-3.42,-3.41
TIC_10000942.01,TIC_10000942,9.95882,976.6,99.6%,1.71,2.41,0.0780,606.6,EVET,UÇUCU ZENGİN İKİNCİL ATMOSFER (Sub-Neptün / Su Dünyası),-3.46,-3.38
TIC_10000943.01,TIC_10000943,12.52213,1416.0,98.5%,2.22,3.78,0.0999,603.0,EVET,PRİMORDİYAL HİDROJEN/HELYUM GAZ ZARFI (Gaz Devi),-3.47,-3.38
TIC_10000943.02,TIC_10000943,12.42665,1098.6,99.1%,1.96,3.04,0.0994,604.5,EVET,UÇUCU ZENGİN İKİNCİL ATMOSFER (Sub-Neptün / Su Dünyası),-3.44,-3.40
TIC_10000944.01,TIC_10000944,4.78430,7975.3,94.7%,6.01,20.45,0.0549,570.7,EVET,PRİMORDİYAL HİDROJEN/HELYUM GAZ ZARFI (Gaz Devi),-3.46,-3.41
TIC_10000945.01,TIC_10000945,7.84862,1505.6,98.2%,2.20,3.69,0.0764,526.1,EVET,PRİMORDİYAL HİDROJEN/HELYUM GAZ ZARFI (Gaz Devi),-3.48,-3.37
TIC_10000946.01,TIC_10000946,13.12730,4720.0,88.9%,3.33,7.51,0.1021,528.9,EVET,PRİMORDİYAL HİDROJEN/HELYUM GAZ ZARFI (Gaz Devi),-3.46,-3.40
TIC_10000946.02,TIC_10000946,15.00000,4882.8,54.4%,3.39,7.73,0.1116,505.9,EVET,PRİMORDİYAL HİDROJEN/HELYUM GAZ ZARFI (Gaz Devi),-3.46,-3.40
TIC_10000947.01,TIC_10000947,9.43969,7690.4,97.3%,7.58,30.37,0.0725,613.4,EVET,PRİMORDİYAL HİDROJEN/HELYUM GAZ ZARFI (Gaz Devi),-3.44,-3.37
TIC_10000947.02,TIC_10000947,9.38533,7649.7,70.8%,7.56,30.24,0.0723,614.6,EVET,PRİMORDİYAL HİDROJEN/HELYUM GAZ ZARFI (Gaz Devi),-3.47,-3.41
TIC_10000948.01,TIC_10000948,8.89852,11596.7,97.7%,13.46,80.53,0.0746,666.9,EVET,PRİMORDİYAL HİDROJEN/HELYUM GAZ ZARFI (Gaz Devi),-3.42,-3.38
TIC_10000949.01,TIC_10000949,13.23389,2563.5,68.7%,3.45,7.96,0.0832,437.6,EVET,PRİMORDİYAL HİDROJEN/HELYUM GAZ ZARFI (Gaz Devi),-3.59,-3.79
TIC_10000949.02,TIC_10000949,13.23389,2685.5,80.5%,3.53,8.29,0.0832,437.6,EVET,PRİMORDİYAL HİDROJEN/HELYUM GAZ ZARFI (Gaz Devi),-3.59,-3.79
TIC_10000950.01,TIC_10000950,7.00523,6835.9,98.1%,8.76,38.84,0.0704,852.8,EVET,PRİMORDİYAL HİDROJEN/HELYUM GAZ ZARFI (Gaz Devi),-3.48,-3.39
TIC_10000951.01,TIC_10000951,2.12169,4638.7,96.8%,3.13,6.75,0.0267,599.7,EVET,PRİMORDİYAL HİDROJEN/HELYUM GAZ ZARFI (Gaz Devi),-3.44,-3.36
TIC_10000952.01,TIC_10000952,5.74571,5127.0,97.9%,5.10,15.45,0.0588,887.6,EVET,PRİMORDİYAL HİDROJEN/HELYUM GAZ ZARFI (Gaz Devi),-3.43,-3.44
TIC_10000953.01,TIC_10000953,3.79768,2177.3,93.8%,3.96,10.08,0.0378,1062.1,EVET,PRİMORDİYAL HİDROJEN/HELYUM GAZ ZARFI (Gaz Devi),-3.31,-3.52
TIC_10000954.01,TIC_10000954,11.54628,1342.7,99.1%,2.91,5.97,0.1031,647.7,EVET,PRİMORDİYAL HİDROJEN/HELYUM GAZ ZARFI (Gaz Devi),-3.41,-3.40
TIC_10000955.01,TIC_10000955,4.39707,1844.6,97.4%,2.03,3.24,0.0499,550.3,EVET,PRİMORDİYAL HİDROJEN/HELYUM GAZ ZARFI (Gaz Devi),-3.43,-3.39
TIC_10000956.01,TIC_10000956,5.12265,7785.4,97.1%,7.06,26.91,0.0531,592.7,EVET,PRİMORDİYAL HİDROJEN/HELYUM GAZ ZARFI (Gaz Devi),-3.41,-3.41
TIC_10000957.01,TIC_10000957,12.05887,2522.8,96.0%,2.70,5.24,0.0918,377.3,EVET,PRİMORDİYAL HİDROJEN/HELYUM GAZ ZARFI (Gaz Devi),-3.58,-3.84
TIC_10000958.01,TIC_10000958,5.14692,3143.3,97.1%,4.16,10.96,0.0475,1012.2,EVET,PRİMORDİYAL HİDROJEN/HELYUM GAZ ZARFI (Gaz Devi),-3.36,-3.51
TIC_10000959.01,TIC_10000959,13.18038,1709.0,99.5%,3.78,9.31,0.1043,639.9,EVET,PRİMORDİYAL HİDROJEN/HELYUM GAZ ZARFI (Gaz Devi),-3.41,-3.40
TIC_10000960.01,TIC_10000960,2.52424,1546.2,98.4%,4.62,13.10,0.0285,1217.9,EVET,PRİMORDİYAL HİDROJEN/HELYUM GAZ ZARFI (Gaz Devi),-3.32,-3.47
TIC_10000961.01,TIC_10000961,8.52610,4475.9,98.6%,6.82,25.37,0.0791,551.5,EVET,PRİMORDİYAL HİDROJEN/HELYUM GAZ ZARFI (Gaz Devi),-3.44,-3.41
TIC_10000961.02,TIC_10000961,8.48173,3479.0,93.9%,6.01,20.48,0.0789,552.5,EVET,PRİMORDİYAL HİDROJEN/HELYUM GAZ ZARFI (Gaz Devi),-3.44,-3.41
TIC_10000962.01,TIC_10000962,10.92698,2807.6,97.6%,4.82,14.05,0.0986,783.1,EVET,PRİMORDİYAL HİDROJEN/HELYUM GAZ ZARFI (Gaz Devi),-3.47,-3.42
TIC_10000962.02,TIC_10000962,11.00073,1611.4,63.5%,3.65,8.76,0.0990,781.4,EVET,PRİMORDİYAL HİDROJEN/HELYUM GAZ ZARFI (Gaz Devi),-3.44,-3.43
TIC_10000963.01,TIC_10000963,4.05265,2295.0,92.7%,3.68,8.87,0.0523,938.8,EVET,PRİMORDİYAL HİDROJEN/HELYUM GAZ ZARFI (Gaz Devi),-3.43,-3.41
TIC_10000964.01,TIC_10000964,12.28614,5655.9,95.0%,4.84,14.14,0.0977,600.6,EVET,PRİMORDİYAL HİDROJEN/HELYUM GAZ ZARFI (Gaz Devi),-3.41,-3.40
TIC_10000964.02,TIC_10000964,12.33262,5615.2,94.9%,4.82,14.06,0.0980,599.9,EVET,PRİMORDİYAL HİDROJEN/HELYUM GAZ ZARFI (Gaz Devi),-3.44,-3.41
TIC_10000965.01,TIC_10000965,6.25271,6933.6,97.9%,5.74,18.94,0.0631,794.4,EVET,PRİMORDİYAL HİDROJEN/HELYUM GAZ ZARFI (Gaz Devi),-3.50,-3.41
TIC_10000966.01,TIC_10000966,12.52213,6738.3,96.6%,3.95,10.04,0.0814,439.2,EVET,PRİMORDİYAL HİDROJEN/HELYUM GAZ ZARFI (Gaz Devi),-3.58,-3.81
TIC_10000967.01,TIC_10000967,2.36663,4188.0,97.5%,6.73,24.80,0.0347,1424.5,EVET,PRİMORDİYAL HİDROJEN/HELYUM GAZ ZARFI (Gaz Devi),-3.31,-3.50
TIC_10000968.01,TIC_10000968,12.81758,8789.1,84.6%,4.70,13.45,0.0850,493.4,EVET,PRİMORDİYAL HİDROJEN/HELYUM GAZ ZARFI (Gaz Devi),-3.45,-3.40
TIC_10000969.01,TIC_10000969,12.76737,1171.9,98.8%,1.58,2.11,0.0887,432.3,EVET,UÇUCU ZENGİN İKİNCİL ATMOSFER (Sub-Neptün / Su Dünyası),-3.62,-3.81
TIC_10000970.01,TIC_10000970,10.89047,11279.3,95.9%,4.66,13.28,0.0864,479.7,EVET,PRİMORDİYAL HİDROJEN/HELYUM GAZ ZARFI (Gaz Devi),-3.43,-3.42
TIC_10000970.02,TIC_10000970,10.89047,325.5,79.2%,0.79,0.42,0.0864,479.7,HAYIR,ÇIPLAK KAYAÇ / SOYULMUŞ ATMOSFER,N/A,N/A
TIC_10000971.01,TIC_10000971,2.73613,7709.3,97.4%,7.69,31.12,0.0396,1148.8,EVET,PRİMORDİYAL HİDROJEN/HELYUM GAZ ZARFI (Gaz Devi),-3.30,-3.53
TIC_10000972.01,TIC_10000972,11.97030,4443.3,94.4%,3.18,6.92,0.0857,383.3,EVET,PRİMORDİYAL HİDROJEN/HELYUM GAZ ZARFI (Gaz Devi),-3.64,-3.80
TIC_10000973.01,TIC_10000973,11.30599,2636.7,97.4%,3.15,6.81,0.0834,684.7,EVET,PRİMORDİYAL HİDROJEN/HELYUM GAZ ZARFI (Gaz Devi),-3.44,-3.38
TIC_10000974.01,TIC_10000974,7.06598,6626.7,97.5%,9.37,43.49,0.0744,999.1,EVET,PRİMORDİYAL HİDROJEN/HELYUM GAZ ZARFI (Gaz Devi),-3.48,-3.36
TIC_10000975.01,TIC_10000975,11.11325,7242.9,96.4%,6.89,25.80,0.0759,700.4,EVET,PRİMORDİYAL HİDROJEN/HELYUM GAZ ZARFI (Gaz Devi),-3.43,-3.39
TIC_10000975.02,TIC_10000975,11.18955,5371.1,71.8%,5.93,20.01,0.0762,698.8,EVET,PRİMORDİYAL HİDROJEN/HELYUM GAZ ZARFI (Gaz Devi),-3.49,-3.41
TIC_10000976.01,TIC_10000976,5.97752,5471.3,98.0%,9.33,43.19,0.0666,737.0,EVET,PRİMORDİYAL HİDROJEN/HELYUM GAZ ZARFI (Gaz Devi),-3.46,-3.41
TIC_10000977.01,TIC_10000977,9.83858,5371.1,97.1%,4.55,12.73,0.0908,512.3,EVET,PRİMORDİYAL HİDROJEN/HELYUM GAZ ZARFI (Gaz Devi),-3.43,-3.40
TIC_10000977.02,TIC_10000977,9.89834,5452.5,94.8%,4.58,12.89,0.0911,511.2,EVET,PRİMORDİYAL HİDROJEN/HELYUM GAZ ZARFI (Gaz Devi),-3.45,-3.42
TIC_10000978.01,TIC_10000978,4.60843,2964.6,97.0%,5.03,15.10,0.0405,1015.6,EVET,PRİMORDİYAL HİDROJEN/HELYUM GAZ ZARFI (Gaz Devi),-3.28,-3.50
TIC_10000979.01,TIC_10000979,7.41983,3092.5,98.1%,7.04,26.75,0.0691,795.4,EVET,PRİMORDİYAL HİDROJEN/HELYUM GAZ ZARFI (Gaz Devi),-3.44,-3.40
TIC_10000980.01,TIC_10000980,13.73580,2522.8,97.5%,4.54,12.70,0.1072,581.8,EVET,PRİMORDİYAL HİDROJEN/HELYUM GAZ ZARFI (Gaz Devi),-3.43,-3.40
TIC_10000981.01,TIC_10000981,12.71756,2343.8,97.2%,5.42,17.14,0.1105,566.3,EVET,PRİMORDİYAL HİDROJEN/HELYUM GAZ ZARFI (Gaz Devi),-3.43,-3.39
TIC_10000982.01,TIC_10000982,2.97323,2759.1,97.7%,5.40,17.03,0.0386,744.0,EVET,PRİMORDİYAL HİDROJEN/HELYUM GAZ ZARFI (Gaz Devi),-3.46,-3.38
TIC_10000983.01,TIC_10000983,12.57042,8382.1,92.5%,5.12,15.58,0.0941,497.1,EVET,PRİMORDİYAL HİDROJEN/HELYUM GAZ ZARFI (Gaz Devi),-3.44,-3.40
TIC_10000983.02,TIC_10000983,12.52213,5615.2,89.0%,4.19,11.09,0.0939,497.7,EVET,PRİMORDİYAL HİDROJEN/HELYUM GAZ ZARFI (Gaz Devi),-3.46,-3.40
TIC_10000984.01,TIC_10000984,13.73580,2075.2,98.4%,5.66,18.49,0.1080,686.3,EVET,PRİMORDİYAL HİDROJEN/HELYUM GAZ ZARFI (Gaz Devi),-3.45,-3.44
TIC_10000985.01,TIC_10000985,11.30599,1953.1,98.1%,3.18,6.92,0.0831,442.7,EVET,PRİMORDİYAL HİDROJEN/HELYUM GAZ ZARFI (Gaz Devi),-3.62,-3.80
TIC_10000985.02,TIC_10000985,11.38497,1180.0,78.3%,2.47,4.51,0.0835,441.7,EVET,PRİMORDİYAL HİDROJEN/HELYUM GAZ ZARFI (Gaz Devi),-3.60,-3.78
TIC_10000986.01,TIC_10000986,10.85421,8483.9,93.8%,8.77,38.90,0.0802,563.1,EVET,PRİMORDİYAL HİDROJEN/HELYUM GAZ ZARFI (Gaz Devi),-3.43,-3.42
TIC_10000987.01,TIC_10000987,9.55032,6591.8,90.2%,3.59,8.54,0.0834,581.3,EVET,PRİMORDİYAL HİDROJEN/HELYUM GAZ ZARFI (Gaz Devi),-3.48,-3.41
TIC_10000988.01,TIC_10000988,3.54955,2374.8,85.2%,5.63,18.33,0.0350,1239.3,EVET,PRİMORDİYAL HİDROJEN/HELYUM GAZ ZARFI (Gaz Devi),-3.33,-3.51
TIC_10000989.01,TIC_10000989,11.92650,3784.2,95.3%,5.36,16.86,0.0964,452.7,EVET,PRİMORDİYAL HİDROJEN/HELYUM GAZ ZARFI (Gaz Devi),-3.46,-3.39
TIC_10000989.02,TIC_10000989,12.01442,2360.0,74.5%,4.24,11.29,0.0969,451.6,EVET,PRİMORDİYAL HİDROJEN/HELYUM GAZ ZARFI (Gaz Devi),-3.49,-3.37
TIC_10000989.03,TIC_10000989,15.00000,3906.2,99.2%,5.45,17.32,0.1123,419.4,EVET,PRİMORDİYAL HİDROJEN/HELYUM GAZ ZARFI (Gaz Devi),-3.59,-3.81
TIC_10000990.01,TIC_10000990,8.92288,2868.7,98.4%,6.93,26.05,0.0869,773.5,EVET,PRİMORDİYAL HİDROJEN/HELYUM GAZ ZARFI (Gaz Devi),-3.46,-3.41
TIC_10000991.01,TIC_10000991,5.96657,2248.1,97.9%,4.63,13.15,0.0661,642.2,EVET,PRİMORDİYAL HİDROJEN/HELYUM GAZ ZARFI (Gaz Devi),-3.44,-3.38
TIC_10000992.01,TIC_10000992,9.89834,9338.4,96.2%,8.37,35.93,0.0716,556.8,EVET,PRİMORDİYAL HİDROJEN/HELYUM GAZ ZARFI (Gaz Devi),-3.44,-3.40
TIC_10000993.01,TIC_10000993,8.85019,8194.9,97.5%,6.28,22.02,0.0701,587.5,EVET,PRİMORDİYAL HİDROJEN/HELYUM GAZ ZARFI (Gaz Devi),-3.45,-3.40
TIC_10000994.01,TIC_10000994,9.75029,4638.7,97.4%,8.19,34.62,0.0852,911.3,EVET,PRİMORDİYAL HİDROJEN/HELYUM GAZ ZARFI (Gaz Devi),-3.46,-3.44
TIC_10000994.02,TIC_10000994,9.75029,244.1,70.7%,1.88,2.83,0.0852,911.3,EVET,UÇUCU ZENGİN İKİNCİL ATMOSFER (Sub-Neptün / Su Dünyası),-3.43,-3.39
TIC_10000995.01,TIC_10000995,2.58633,4429.5,97.7%,7.02,26.66,0.0321,1348.7,EVET,PRİMORDİYAL HİDROJEN/HELYUM GAZ ZARFI (Gaz Devi),-3.30,-3.48
TIC_10000996.01,TIC_10000996,11.54628,8056.6,95.2%,7.97,33.09,0.0987,747.8,EVET,PRİMORDİYAL HİDROJEN/HELYUM GAZ ZARFI (Gaz Devi),-3.49,-3.38
TIC_10000996.02,TIC_10000996,11.46506,4150.4,82.6%,5.72,18.83,0.0983,749.5,EVET,PRİMORDİYAL HİDROJEN/HELYUM GAZ ZARFI (Gaz Devi),-3.39,-3.41
TIC_10000996.03,TIC_10000996,15.00000,8056.6,99.8%,7.97,33.09,0.1175,685.3,EVET,PRİMORDİYAL HİDROJEN/HELYUM GAZ ZARFI (Gaz Devi),-3.45,-3.40
TIC_10000997.01,TIC_10000997,5.59770,1281.7,99.0%,2.10,3.42,0.0457,847.8,EVET,PRİMORDİYAL HİDROJEN/HELYUM GAZ ZARFI (Gaz Devi),-3.47,-3.41
TIC_10000998.01,TIC_10000998,5.94481,2127.5,98.7%,4.97,14.80,0.0623,884.7,EVET,PRİMORDİYAL HİDROJEN/HELYUM GAZ ZARFI (Gaz Devi),-3.49,-3.37
TIC_10000999.01,TIC_10000999,3.71543,2758.8,94.4%,5.79,19.18,0.0402,1312.3,EVET,PRİMORDİYAL HİDROJEN/HELYUM GAZ ZARFI (Gaz Devi),-3.30,-3.55
